runId,week,version,workflow,segment,success,latencySec,costUsd,escalated,errorType
RUN-v10-01-01,1,v1.0,Report generation,Client,true,4.05,0.101,true,
RUN-v10-01-02,1,v1.0,Job matching,Power user,true,4.48,0.103,true,
RUN-v10-01-03,1,v1.0,Research,Internal,true,4.16,0.105,true,
RUN-v10-01-04,1,v1.0,Data request,Client,true,4.49,0.107,true,
RUN-v10-01-05,1,v1.0,Report generation,Power user,true,4.37,0.109,true,
RUN-v10-01-06,1,v1.0,Job matching,Internal,true,4.8,0.101,true,
RUN-v10-01-07,1,v1.0,Research,Client,true,4.48,0.103,true,
RUN-v10-01-08,1,v1.0,Data request,Power user,true,4.81,0.105,true,
RUN-v10-01-09,1,v1.0,Report generation,Internal,true,4.05,0.107,true,
RUN-v10-01-10,1,v1.0,Job matching,Client,true,4.48,0.109,true,
RUN-v10-01-11,1,v1.0,Research,Power user,true,4.16,0.101,true,
RUN-v10-01-12,1,v1.0,Data request,Internal,true,4.49,0.103,false,
RUN-v10-01-13,1,v1.0,Report generation,Client,true,4.37,0.105,false,
RUN-v10-01-14,1,v1.0,Job matching,Power user,true,4.8,0.107,false,
RUN-v10-01-15,1,v1.0,Research,Internal,true,4.48,0.109,false,
RUN-v10-01-16,1,v1.0,Data request,Client,true,4.81,0.101,false,
RUN-v10-01-17,1,v1.0,Report generation,Power user,true,4.05,0.103,false,
RUN-v10-01-18,1,v1.0,Job matching,Internal,true,4.48,0.105,false,
RUN-v10-01-19,1,v1.0,Research,Client,false,4.16,0.107,false,Retrieval
RUN-v10-01-20,1,v1.0,Data request,Power user,false,4.49,0.109,false,Retrieval
RUN-v10-01-21,1,v1.0,Report generation,Internal,false,4.37,0.101,false,Retrieval
RUN-v10-01-22,1,v1.0,Job matching,Client,false,4.8,0.103,false,Retrieval
RUN-v10-01-23,1,v1.0,Research,Power user,false,4.48,0.105,false,Retrieval
RUN-v10-01-24,1,v1.0,Data request,Internal,false,4.81,0.107,false,Retrieval
RUN-v10-01-25,1,v1.0,Report generation,Client,false,4.05,0.109,false,Retrieval
RUN-v10-01-26,1,v1.0,Job matching,Power user,false,4.48,0.101,false,Retrieval
RUN-v10-01-27,1,v1.0,Research,Internal,false,4.16,0.103,false,Retrieval
RUN-v10-01-28,1,v1.0,Data request,Client,false,4.49,0.105,false,Retrieval
RUN-v10-01-29,1,v1.0,Report generation,Power user,false,4.37,0.107,false,Retrieval
RUN-v10-01-30,1,v1.0,Job matching,Internal,false,4.8,0.109,false,Retrieval
RUN-v10-01-31,1,v1.0,Research,Client,false,4.48,0.101,false,Retrieval
RUN-v10-01-32,1,v1.0,Data request,Power user,false,4.81,0.103,false,Retrieval
RUN-v10-01-33,1,v1.0,Report generation,Internal,false,4.05,0.105,false,Retrieval
RUN-v10-01-34,1,v1.0,Job matching,Client,false,4.48,0.107,false,Retrieval
RUN-v10-01-35,1,v1.0,Research,Power user,false,4.16,0.109,false,Retrieval
RUN-v10-02-01,2,v1.0,Job matching,Power user,true,4.4,0.101,true,
RUN-v10-02-02,2,v1.0,Research,Internal,true,4.08,0.103,true,
RUN-v10-02-03,2,v1.0,Data request,Client,true,4.41,0.105,true,
RUN-v10-02-04,2,v1.0,Report generation,Power user,true,4.29,0.107,true,
RUN-v10-02-05,2,v1.0,Job matching,Internal,true,4.72,0.109,true,
RUN-v10-02-06,2,v1.0,Research,Client,true,4.4,0.101,true,
RUN-v10-02-07,2,v1.0,Data request,Power user,true,4.73,0.103,true,
RUN-v10-02-08,2,v1.0,Report generation,Internal,true,4.61,0.105,true,
RUN-v10-02-09,2,v1.0,Job matching,Client,true,4.4,0.107,true,
RUN-v10-02-10,2,v1.0,Research,Power user,true,4.08,0.109,true,
RUN-v10-02-11,2,v1.0,Data request,Internal,true,4.41,0.101,true,
RUN-v10-02-12,2,v1.0,Report generation,Client,true,4.29,0.103,false,
RUN-v10-02-13,2,v1.0,Job matching,Power user,true,4.72,0.105,false,
RUN-v10-02-14,2,v1.0,Research,Internal,true,4.4,0.107,false,
RUN-v10-02-15,2,v1.0,Data request,Client,true,4.73,0.109,false,
RUN-v10-02-16,2,v1.0,Report generation,Power user,true,4.61,0.101,false,
RUN-v10-02-17,2,v1.0,Job matching,Internal,true,4.4,0.103,false,
RUN-v10-02-18,2,v1.0,Research,Client,true,4.08,0.105,false,
RUN-v10-02-19,2,v1.0,Data request,Power user,true,4.41,0.107,false,
RUN-v10-02-20,2,v1.0,Report generation,Internal,false,4.29,0.109,false,Retrieval
RUN-v10-02-21,2,v1.0,Job matching,Client,false,4.72,0.101,false,Retrieval
RUN-v10-02-22,2,v1.0,Research,Power user,false,4.4,0.103,false,Retrieval
RUN-v10-02-23,2,v1.0,Data request,Internal,false,4.73,0.105,false,Retrieval
RUN-v10-02-24,2,v1.0,Report generation,Client,false,4.61,0.107,false,Retrieval
RUN-v10-02-25,2,v1.0,Job matching,Power user,false,4.4,0.109,false,Retrieval
RUN-v10-02-26,2,v1.0,Research,Internal,false,4.08,0.101,false,Retrieval
RUN-v10-02-27,2,v1.0,Data request,Client,false,4.41,0.103,false,Retrieval
RUN-v10-02-28,2,v1.0,Report generation,Power user,false,4.29,0.105,false,Retrieval
RUN-v10-02-29,2,v1.0,Job matching,Internal,false,4.72,0.107,false,Retrieval
RUN-v10-02-30,2,v1.0,Research,Client,false,4.4,0.109,false,Retrieval
RUN-v10-02-31,2,v1.0,Data request,Power user,false,4.73,0.101,false,Retrieval
RUN-v10-02-32,2,v1.0,Report generation,Internal,false,4.61,0.103,false,Retrieval
RUN-v10-02-33,2,v1.0,Job matching,Client,false,4.4,0.105,false,Retrieval
RUN-v10-02-34,2,v1.0,Research,Power user,false,4.08,0.107,false,Retrieval
RUN-v10-02-35,2,v1.0,Data request,Internal,false,4.41,0.109,false,Retrieval
RUN-v10-03-01,3,v1.0,Research,Internal,true,4,0.101,true,
RUN-v10-03-02,3,v1.0,Data request,Client,true,4.33,0.103,true,
RUN-v10-03-03,3,v1.0,Report generation,Power user,true,4.21,0.105,true,
RUN-v10-03-04,3,v1.0,Job matching,Internal,true,4.64,0.107,true,
RUN-v10-03-05,3,v1.0,Research,Client,true,4.32,0.109,true,
RUN-v10-03-06,3,v1.0,Data request,Power user,true,4.65,0.101,true,
RUN-v10-03-07,3,v1.0,Report generation,Internal,true,4.53,0.103,true,
RUN-v10-03-08,3,v1.0,Job matching,Client,true,4.96,0.105,true,
RUN-v10-03-09,3,v1.0,Research,Power user,true,4,0.107,true,
RUN-v10-03-10,3,v1.0,Data request,Internal,true,4.33,0.109,true,
RUN-v10-03-11,3,v1.0,Report generation,Client,true,4.21,0.101,false,
RUN-v10-03-12,3,v1.0,Job matching,Power user,true,4.64,0.103,false,
RUN-v10-03-13,3,v1.0,Research,Internal,true,4.32,0.105,false,
RUN-v10-03-14,3,v1.0,Data request,Client,true,4.65,0.107,false,
RUN-v10-03-15,3,v1.0,Report generation,Power user,true,4.53,0.109,false,
RUN-v10-03-16,3,v1.0,Job matching,Internal,true,4.96,0.101,false,
RUN-v10-03-17,3,v1.0,Research,Client,true,4,0.103,false,
RUN-v10-03-18,3,v1.0,Data request,Power user,true,4.33,0.105,false,
RUN-v10-03-19,3,v1.0,Report generation,Internal,true,4.21,0.107,false,
RUN-v10-03-20,3,v1.0,Job matching,Client,true,4.64,0.109,false,
RUN-v10-03-21,3,v1.0,Research,Power user,false,4.32,0.101,false,Retrieval
RUN-v10-03-22,3,v1.0,Data request,Internal,false,4.65,0.103,false,Retrieval
RUN-v10-03-23,3,v1.0,Report generation,Client,false,4.53,0.105,false,Retrieval
RUN-v10-03-24,3,v1.0,Job matching,Power user,false,4.96,0.107,false,Retrieval
RUN-v10-03-25,3,v1.0,Research,Internal,false,4,0.109,false,Retrieval
RUN-v10-03-26,3,v1.0,Data request,Client,false,4.33,0.101,false,Retrieval
RUN-v10-03-27,3,v1.0,Report generation,Power user,false,4.21,0.103,false,Retrieval
RUN-v10-03-28,3,v1.0,Job matching,Internal,false,4.64,0.105,false,Retrieval
RUN-v10-03-29,3,v1.0,Research,Client,false,4.32,0.107,false,Retrieval
RUN-v10-03-30,3,v1.0,Data request,Power user,false,4.65,0.109,false,Retrieval
RUN-v10-03-31,3,v1.0,Report generation,Internal,false,4.53,0.101,false,Retrieval
RUN-v10-03-32,3,v1.0,Job matching,Client,false,4.96,0.103,false,Retrieval
RUN-v10-03-33,3,v1.0,Research,Power user,false,4,0.105,false,Retrieval
RUN-v10-03-34,3,v1.0,Data request,Internal,false,4.33,0.107,false,Retrieval
RUN-v10-03-35,3,v1.0,Report generation,Client,false,4.21,0.109,false,Retrieval
RUN-v10-04-01,4,v1.0,Data request,Client,true,4.25,0.101,true,
RUN-v10-04-02,4,v1.0,Report generation,Power user,true,4.13,0.103,true,
RUN-v10-04-03,4,v1.0,Job matching,Internal,true,4.56,0.105,true,
RUN-v10-04-04,4,v1.0,Research,Client,true,4.24,0.107,true,
RUN-v10-04-05,4,v1.0,Data request,Power user,true,4.57,0.109,true,
RUN-v10-04-06,4,v1.0,Report generation,Internal,true,4.45,0.101,true,
RUN-v10-04-07,4,v1.0,Job matching,Client,true,4.88,0.103,true,
RUN-v10-04-08,4,v1.0,Research,Power user,true,4.56,0.105,true,
RUN-v10-04-09,4,v1.0,Data request,Internal,true,4.25,0.107,true,
RUN-v10-04-10,4,v1.0,Report generation,Client,true,4.13,0.109,true,
RUN-v10-04-11,4,v1.0,Job matching,Power user,true,4.56,0.101,false,
RUN-v10-04-12,4,v1.0,Research,Internal,true,4.24,0.103,false,
RUN-v10-04-13,4,v1.0,Data request,Client,true,4.57,0.105,false,
RUN-v10-04-14,4,v1.0,Report generation,Power user,true,4.45,0.107,false,
RUN-v10-04-15,4,v1.0,Job matching,Internal,true,4.88,0.109,false,
RUN-v10-04-16,4,v1.0,Research,Client,true,4.56,0.101,false,
