month,monthIndex,supplier,country,commodity,partsReceived,defectCount,defectPpm,otif,riskScore,openCapa,dominantCause,nextAction,dueDate
Jan,1,SUP-CN-04,China,Metal,9000,25,2793,66.3,67,1,Material,Containment call,2027-01-05
Jan,1,SUP-DE-02,Germany,Electronics,9830,26,2660,69.3,64,0,Process,Root-cause review,2027-01-06
Jan,1,SUP-SK-01,Slovakia,Metal,10660,26,2394,74.3,62,0,Component,Process audit,2027-01-07
Jan,1,SUP-ES-03,Spain,Electronics,11490,24,2128,79.3,61,0,Handling,CAPA verification,2027-01-08
Jan,1,SUP-KR-02,South Korea,Metal,12320,23,1862,82.3,58,0,Design,8D follow-up,2027-01-09
Jan,1,SUP-MA-01,Morocco,Electronics,13150,6,492,88.8,34,0,Inspection,Monitor,
Jan,1,SUP-CN-01,China,Metal,13980,7,525,89.8,31,0,Packaging,Monitor,
Jan,1,SUP-ES-01,Spain,Electronics,14810,8,559,90.3,30,0,Other,Monitor,
Jan,1,SUP-SK-02,Slovakia,Metal,15640,9,592,90.5,29,0,Material,Monitor,
Jan,1,SUP-DE-01,Germany,Electronics,16470,10,625,90.8,28,0,Process,Monitor,
Jan,1,SUP-KR-01,South Korea,Metal,17300,11,658,91.1,27,0,Component,Monitor,
Jan,1,SUP-MA-02,Morocco,Electronics,18130,13,692,91.3,25,0,Handling,Monitor,
Jan,1,SUP-CN-02,China,Metal,18960,14,725,91.5,25,0,Design,Monitor,
Jan,1,SUP-ES-02,Spain,Electronics,19790,15,758,91.7,24,0,Inspection,Monitor,
Jan,1,SUP-SK-03,Slovakia,Metal,20620,16,791,91.8,23,0,Packaging,Monitor,
Jan,1,SUP-DE-03,Germany,Electronics,21450,18,825,91.9,22,0,Other,Monitor,
Jan,1,SUP-KR-03,South Korea,Metal,22280,19,858,92.1,21,0,Material,Monitor,
Jan,1,SUP-MA-03,Morocco,Electronics,23110,21,891,92.3,20,0,Process,Monitor,
Jan,1,SUP-CN-03,China,Metal,23940,22,924,92.5,19,0,Component,Monitor,
Jan,1,SUP-ES-04,Spain,Electronics,24770,24,958,92.7,18,0,Handling,Monitor,
Jan,1,SUP-SK-04,Slovakia,Metal,25600,25,991,92.9,16,0,Design,Monitor,
Jan,1,SUP-DE-04,Germany,Electronics,26430,27,1024,93.1,16,0,Inspection,Monitor,
Jan,1,SUP-KR-04,South Korea,Metal,27260,29,1057,93.3,15,0,Packaging,Monitor,
Jan,1,SUP-MA-04,Morocco,Electronics,28090,31,1098,89.7,14,0,Other,Monitor,
Feb,2,SUP-CN-04,China,Metal,9120,25,2694,67.2,69,1,Material,Containment call,2027-01-05
